database,api,permit,longitude,latitude,surface_interval_id,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name,surface_id,bottom_id,,,
SMU-Unpublished Logged Well Site,4213138644,,-98.79183,27.53199,TX-BHT-010225-a,4333.54,,,,,,Unpublished SMU Temperature Logs,TX,,West Texas,,,,,,,1,,,Metano Energy| Dinn Mineral Trust #1,,1/26/2004,,,,,Oil or Gas Well,,Dinn West Prospect,,,,,Duval  County,,,,,
SMU-Unpublished Logged Well Site,4242733059,,-99.12794,26.58002,TX-BHT-010226-a,4299.57,,,,,,Unpublished SMU Temperature Logs,TX,,West Texas,,,,,,,1,,,El Paso|Guerra GU D #10,,9/2/2002,,,,El Paso Production,Oil or Gas Well,,Bob West,,,,,,,,,,
SMU-Unpublished Logged Well Site,4220332744,,-94.69301,32.6053,TX-BHT-010227-a,3297.41,,,,,,Unpublished SMU Temperature Logs,TX,,West Texas,,,,,,,1,,,Wagner & Brown LTD. H. Crawford Well No. 1,,11/19/2002,,,,,Oil or Gas Well,,Wildcat,,,,,Harrison County,,,,,
SMU-Unpublished Logged Well Site,4221532833,,-98.41476,26.45937,TX-BHT-010228-a,4315.21,,,,,,Unpublished SMU Temperature Logs,TX,,West Texas,,,,,,,1,,,El Paso |Jamieson No. 2,,10/6/2003,,,,El Paso Production,Oil or Gas Well,,Javelina,,,,,,,,,,
SMU-Unpublished Logged Well Site,4204731985,,-98.06445,26.81317,TX-BHT-010229-a,4584.7,,,,,,Unpublished SMU Temperature Logs,TX,,West Texas,,,,,,,1,,,El Paso |Santa Fe Ranch 20,,12/14/2002,,,,El Paso Production,Oil or Gas Well,,Tom East Field,,,,,,,,,,
SMU-Unpublished Logged Well Site,4240903869,,-97.66462,27.88469,TX-BHT-010230-a,2018.11,,,,,,Unpublished SMU Temperature Logs,TX,,West Texas,,,,,,,1,,,Smith Productions Inc|Welder Ranch No. 6,,4/16/2002,,,,,Oil or Gas Well,,O'Neil Field,,,,,San Patricio  County,,,,,
SMU-Google BHT Heat Flow,,,-88.467,31.9002,AL-BHT-000001-a,4204.3,93.3,19.1,112.4,19.8,22,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,45,BHT-C,,Harrison,1,45,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.4265,31.424,AL-BHT-000002-a,1860.7,58.9,9.4,68.3,20.2,25.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.01,52,BHT-C,,Harrison,1,52,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.41,31.8902,AL-BHT-000003-a,3969.2,91.1,19.1,110.2,19.8,22.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,47,BHT-C,,Harrison,1,47,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.4089,31.351,AL-BHT-000004-a,2443.9,71.1,14.1,85.2,20.2,26.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,53,BHT-C,,Harrison,1,53,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.4089,31.2445,AL-BHT-000005-a,2172.6,64.4,12.1,76.5,20.3,25.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,52,BHT-C,,Harrison,1,52,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.4009,31.6265,AL-BHT-000006-a,1421.3,48.9,4.7,53.6,20,23.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.03,48,BHT-C,,Harrison,1,48,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
