longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
-95.3651,30.6361,5538.7,186.1,19.1,205.2,23.1,32.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,65.0,BHT-C,,Harrison,1.0,65.0,,,,,,,,,Oil or Gas Well,Unknown,,,,,,
-94.8103,30.6815,5187.8,183.3,19.1,202.4,22.5,34.7,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,68.0,BHT-C,,Harrison,1.0,68.0,,,,,,,,"Tribal & Patrick I-Camden (section 3, no. 9) ",Oil or Gas Well,Unknown,,,,,,Polk
-94.8958,30.8095,4633.2,180.6,19.1,199.7,22.4,38.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,76.0,BHT-C,,Harrison,1.0,76.0,,,,,,,,"Shell I-Alexander (section 3, no. 8; ties A, no. 20) ",Oil or Gas Well,Unknown,,,,,,Polk
-94.5637,30.6731,4878.0,180.0,19.1,199.1,22.2,36.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,72.0,BHT-C,,Harrison,1.0,72.0,,,,,,,,"Gulf Oil I-Carter-Camden (section 2, no. 11) ",Oil or Gas Well,Unknown,,,,,,Tyler
-95.2341,30.7657,4724.1,174.4,19.1,193.5,22.8,36.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,71.0,BHT-C,,Harrison,1.0,71.0,,,,,,,,Humble Oil & Refining I-Ben Ogeltree ,Oil or Gas Well,Unknown,,,,,,San Jacinto
-94.7266,30.8416,4139.3,174.4,19.1,193.5,22.2,41.4,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,82.0,BHT-C,,Harrison,1.0,82.0,,,,,,,,Pan American A-1 Southland Paper Mill ,Oil or Gas Well,Unknown,,,,,,Polk
-93.1672,32.8002,3879.3,173.9,19.1,193.0,19.35,44.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.09,93.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.73103,32.38374,3642.0,192.22,,192.0,21.14,46.91,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,111.83,BHT-D,,Harrison,1.0,111.83,,,,,,,,,,,,,,,,Gregg County
-95.4402,30.6776,4695.7,169.4,19.1,188.5,23.1,35.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,70.0,BHT-C,,Harrison,1.0,70.0,,,,,,,,"Marr & Moran 3-Gibbs Bros. (section 4, no. 7; ties A, no. 19) ",Oil or Gas Well,Unknown,,,,,,Walker
-93.7976,30.9274,4302.1,168.9,19.1,188.0,21.5,38.7,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,76.0,BHT-C,,Harrison,1.0,76.0,,,,,,,,"Pan American A-1 E. W. Brown, Jr.",Oil or Gas Well,Unknown,,,,,,Newton
-94.3533,30.8438,4422.3,168.9,19.1,188.0,22.0,37.5,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,74.0,BHT-C,,Harrison,1.0,74.0,,,,,,,,"Pan American I-Long Bell (section A, no. 22) ",Oil or Gas Well,Unknown,,,,,,Tyler
-93.896,30.8821,4610.7,165.6,19.1,184.7,21.6,35.4,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.96,69.0,BHT-C,,Harrison,2.0,70.0,,,,,13.0,,,"Anadarko E&P, LP",Oil or Gas Well,Unknown,Wildcat,,KB,352.0,107.32,Jasper
-94.9812,32.6775,3929.3,165.6,19.1,184.7,20.89,42.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.12,89.0,BHT-C,,Harrison,2.0,87.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.549,31.9197,3739.6,165.0,19.0,184.0,21.47,43.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.02,88.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.64604,32.35667,3945.7,164.44,,183.51,21.11,41.16,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.38,99.93,BHT-C,,Harrison,1.0,99.93,,,,,,,,,,,,,,,109.73,Rusk County
-94.6912,30.6814,4729.3,163.9,19.1,183.0,22.3,34.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,67.0,BHT-C,,Harrison,2.0,66.0,,,,,4.0,,,"Comstock Oil & Gas, Inc.",Oil or Gas Well,Unknown,Polk,,KB,256.0,78.05,Polk
-94.6943,30.6938,4693.0,162.8,19.1,181.9,22.3,34.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,67.0,BHT-C,,Harrison,2.0,63.0,,,,,6.75,,,"Comstock Oil & Gas, Inc.",Oil or Gas Well,Unknown,Sunflower,,KB,289.5,88.26,Polk
-94.6836,30.6826,4618.9,160.0,19.1,179.1,22.3,33.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,67.0,BHT-C,,Harrison,2.0,65.0,,,,,8.25,,,"Comstock Oil & Gas, Inc.",Oil or Gas Well,Unknown,Sunflower,,KB,289.0,88.11,Polk
-94.6572,30.7035,4607.0,160.0,19.1,179.1,22.3,34.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,67.0,BHT-C,,Harrison,2.0,63.0,,,,,10.0,,,"Dominion Exploration & Production, Inc.",Oil or Gas Well,Unknown,Wildcat,,DF,385.5,117.53,Polk
-94.6705,30.7348,4342.7,155.6,19.1,174.7,22.3,35.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,69.0,BHT-C,,Harrison,1.0,69.0,,,,,9.25,,,"Willow Creek Resources, Inc.",Gas Well,Unknown,Double A Wells,Woodbine,KB,387.3,118.08,Polk
-94.515,30.5614,3902.4,155.0,19.1,174.1,22.3,38.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.96,76.0,BHT-C,,Harrison,1.0,76.0,,,,,,,,,Oil or Gas Well,Unknown,,,,,,
-94.6562,30.7326,4333.2,154.4,19.1,173.5,22.3,34.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,69.0,BHT-C,,Harrison,2.0,63.0,,,,,5.0,,,"Willow Creek Resources, Inc.",Oil or Gas Well,Unknown,Double A Wells,Woodbine,KB,442.0,134.76,Polk
-94.549,31.9197,3637.8,154.4,18.9,173.3,21.47,42.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.02,85.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.4788,30.8785,3969.5,153.9,19.1,173.0,22.0,38.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,75.0,BHT-C,,Harrison,1.0,75.0,,,,,,,,Tesoro Petroleum I-E. Bryant ,Oil or Gas Well,Unknown,,,,,,Tyler
-94.6683,30.5403,4970.7,153.3,19.1,172.4,22.5,30.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.96,59.0,BHT-C,,Harrison,2.0,55.0,,,,,15.5,,,Anadarko Petroleum Co,Oil or Gas Well,Unknown,Wildcat,,KB,215.0,65.55,Polk
-94.7213,30.9345,3739.9,153.3,19.0,172.3,22.2,40.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,79.0,BHT-C,,Harrison,1.0,79.0,,,,,,,,Wainoco I-Carter Bros. ,Oil or Gas Well,Unknown,,,,,,Polk
-94.67283,32.43492,3866.37,152.78,,171.84,21.03,39.01,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.38,94.65,BHT-D,,Harrison,1.0,94.65,,,,,,,,,,,,,,,85.95,Harrison County
-94.6912,30.6814,4538.4,150.0,19.1,169.1,22.3,32.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,64.0,BHT-C,,Harrison,2.0,66.0,,,,,4.0,,,"Comstock Oil & Gas, Inc.",Oil or Gas Well,Unknown,Polk,,KB,256.0,78.05,Polk
-94.8048,30.5516,3747.0,149.4,19.0,168.4,22.6,38.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,77.0,BHT-C,,Harrison,1.0,77.0,,,,,,,,"Continental B-I-Carter & Bros. (section 3, no. 10; ties B, no. 29)",Oil or Gas Well,Unknown,,,,,,Polk
-93.896,30.8821,4072.9,148.9,19.1,168.0,21.6,35.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.96,70.0,BHT-C,,Harrison,2.0,70.0,,,,,13.0,,,"Anadarko E&P, LP",Oil or Gas Well,Unknown,Wildcat,,KB,352.0,107.32,Jasper
-93.1672,32.8002,3647.9,148.9,18.9,167.8,19.35,40.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.09,85.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-95.2691,32.4697,4835.1,146.7,19.1,165.8,21.2,29.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,62.0,BHT-C,,Harrison,2.0,64.0,,,,,10.5,,,"Carrizo Oil & Gas, Inc.",Oil or Gas Well,Unknown,Wildcat,,KB,523.0,159.45,Smith
-94.58102,32.4382,3428.8,147.22,,165.78,20.95,42.24,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,100.95,BHT-C,,Harrison,1.0,100.95,,,,,,,,,,,,,,,81.08,Harrison County
-94.7845,32.39271,3811.6,146.67,,165.72,21.16,37.93,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,91.13,BHT-C,,Harrison,1.0,91.13,,,,,,,,,,,,,,,91.74,Gregg County
-93.9005,30.9552,3906.1,145.6,19.1,164.7,21.53,36.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.93,71.0,BHT-C,,Harrison,2.0,67.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-95.2691,32.4697,4416.5,143.3,19.1,162.4,21.2,32.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,66.0,BHT-C,,Harrison,2.0,64.0,,,,,10.5,,,"Carrizo Oil & Gas, Inc.",Oil or Gas Well,Unknown,Wildcat,,KB,523.0,159.45,Smith
-94.7663,31.8179,3970.7,142.8,19.1,161.9,21.71,35.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.02,72.0,BHT-C,,Harrison,3.0,69.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.9812,32.6775,3595.1,142.2,18.9,161.1,20.89,39.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.12,84.0,BHT-C,,Harrison,2.0,87.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.82097,32.3483,3053.56,143.33,,160.74,21.23,45.69,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.32,107.58,BHT-D,,Harrison,1.0,107.58,,,,,,,,,,,,,,,,Rusk County
-94.69189,32.35129,3989.46,141.67,,160.71,21.15,34.98,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.37,85.13,BHT-C,,Harrison,1.0,85.13,,,,,,,,,,,,,,,100.28,Rusk County
-95.1434,32.1491,3757.3,141.7,19.0,160.7,21.5,37.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.05,76.0,BHT-C,,Harrison,1.0,76.0,,,,,8.0,,,Southwestern Energy,Gas Well,Unknown,Overton  ,Cotton Valley,KB,449.0,136.89,Smith
-94.6836,30.6826,4405.5,141.1,19.1,160.2,22.3,31.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,62.0,BHT-C,,Harrison,2.0,65.0,,,,,8.25,,,"Comstock Oil & Gas, Inc.",Oil or Gas Well,Unknown,Sunflower,,KB,289.0,88.11,Polk
-94.9089,30.8359,3902.1,140.6,19.1,159.7,22.4,35.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,70.0,BHT-C,,Harrison,1.0,70.0,,,,,9.0,,,Pogo Producing Co,Dry Hole,Unknown,Wildcat,,KB,252.0,76.83,Polk
-94.3535,30.8519,3416.8,141.1,18.5,159.6,21.96,40.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.93,78.0,BHT-C,,Harrison,1.0,78.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-95.1436,32.1901,3655.5,140.6,18.9,159.5,21.5,37.8,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.06,78.0,BHT-C,,Harrison,1.0,78.0,,,,,6.0,,,Southwestern Energy,Gas Well,Unknown,Overton  ,Cotton Valley,DF,377.0,114.94,Smith
-94.82854,32.37636,3419.67,140.56,,159.09,21.2,40.32,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,96.59,BHT-D,,Harrison,1.0,96.59,,,,,,,,,,,,,,,119.48,Gregg County
-94.7995,31.8001,2791.2,142.2,16.2,158.4,21.8,48.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.02,99.0,BHT-C,,Harrison,2.0,86.0,,,,,4.0,,,ExxonMobil Production Co,Gas Well,Unknown,Trawick,,KB,447.5,136.43,Nacogdoches
