longitude,latitude,depth_bin,bhtcorrected_temp,depth
-95.4402,30.6776,4500,188.5,4695.7
-95.3651,30.6361,5500,205.2,5538.7
-95.2691,32.4697,4000,162.4,4416.5
-95.2691,32.4697,4500,165.8,4835.1
-95.2341,30.7657,4500,193.5,4724.1
-95.2264,30.759,3500,155.8,3981.7
-95.1436,32.1901,3500,159.5,3655.5
-95.1434,32.1491,3500,160.7,3757.3
-95.14,32.1385,3500,154.0,3788.7
-95.1323,32.1937,3500,155.1,3716.5
-95.1303,32.163,3500,152.9,3720.7
-95.1292,32.2002,3500,152.2,3628.4
-95.1238,32.2083,3500,153.9,3659.5
-95.1193,32.2266,3500,151.1,3658.8
-95.1071,32.1481,3500,150.1,3672.6
-95.1043,32.1446,3500,150.6,3658.2
-95.1006,32.1582,3500,152.3,3673.8
-95.1004,32.1523,3500,150.6,3647.6
-95.0995,32.1917,3500,151.9,3828.4
-95.0982,32.15,3500,150.0,3660.4
-95.0971,32.1556,3500,153.3,3640.9
-95.0816,32.2028,3500,151.0,3563.1
-95.063,32.1939,3500,151.7,3594.8
-95.0455,32.1329,3500,150.1,3753.7
-95.017,30.5526,3000,151.3,3207.3
-94.9829,32.6803,3500,150.1,3696.3
-94.9812,32.6775,3500,172.89999999999998,3762.2
-94.927,30.8531,3500,151.3,3852.4
-94.9089,30.8359,3500,159.7,3902.1
-94.8958,30.8095,4500,199.7,4633.2
-94.8708,32.1226,3000,150.7,3422.3
-94.83413,32.51575,3000,150.11,3380.95
-94.82854,32.37636,3000,159.09,3419.67
-94.82366,32.53559,3500,151.29,3879.28
-94.82131,32.56314,3000,151.0,3398.0
-94.82097,32.3483,3000,160.74,3053.56
-94.8177,30.7504,4000,155.8,4355.5
-94.8103,30.6815,5000,202.4,5187.8
-94.8048,30.5516,3500,168.4,3747.0
-94.7995,31.8001,2500,158.4,2791.2
-94.7845,32.39271,3500,165.72,3811.6
-94.77383,32.42725,3000,151.23,3384.1
-94.77327,32.40765,3500,155.18,3867.95
-94.7663,31.8179,3500,159.4,3922.7
-94.7635,30.5052,3500,151.5,3504.9
-94.73103,32.38374,3500,192.0,3642.0
-94.7266,30.8416,4000,193.5,4139.3
-94.7213,30.9345,3500,172.3,3739.9
-94.6943,30.6938,4000,153.5,4450.3
-94.6943,30.6938,4500,181.9,4693.0
-94.69189,32.35129,3500,160.71,3989.46
-94.6912,30.6814,4500,176.05,4633.85
-94.69041,32.58534,3500,151.24,3755.25
-94.6836,30.6826,4000,160.2,4405.5
-94.6836,30.6826,4500,179.1,4618.9
-94.68249,32.37545,3000,151.93,3447.69
-94.67531,32.33389,3500,152.0,3749.0
-94.67283,32.43492,3500,171.84,3866.37
-94.6713,32.44219,3500,155.18,3861.65
-94.67123,32.31925,3000,153.35,3340.34
-94.67079,32.44229,3500,157.96,3902.89
-94.6705,30.7348,4000,174.7,4342.7
-94.6683,30.5403,4500,172.4,4970.7
-94.66508,32.42289,3000,153.53,3415.89
-94.66045,32.46356,3500,155.95,3511.91
-94.6572,30.7035,4500,179.1,4607.0
-94.6562,30.7326,4000,173.5,4333.2
-94.64668,32.4743,3500,154.05,3809.08
-94.64604,32.35667,3500,183.51,3945.7
-94.64038,32.44578,3000,153.46,3384.1
-94.62969,32.5311,3500,158.0,3514.0
-94.62677,32.41775,3000,152.3,3365.53
-94.61828,32.48026,3500,156.29,3921.15
-94.61129,32.32665,3500,150.64,3690.09
-94.60998,32.45552,3500,151.19,3690.72
-94.60641,32.41122,3000,151.86,3413.69
-94.6002,32.45876,3500,154.61,3958.92
-94.59916,32.38988,3000,150.62,3358.92
-94.59324,32.4292,3000,155.05,3354.82
-94.59313,32.45883,3500,155.16,3990.09
-94.59217,32.44221,3000,150.67,3380.32
-94.58851,32.48669,3500,155.73,3852.21
-94.58102,32.4382,3000,165.78,3428.8
-94.57432,32.4312,3000,154.91,3302.25
-94.5637,30.6731,4500,199.1,4878.0
-94.549,31.9197,3500,178.65,3688.7
-94.54873,32.38811,3500,153.43,3705.83
-94.53929,32.39758,3000,150.85,3242.13
-94.5332,32.44297,3500,151.85,3889.04
-94.52967,32.43123,3500,151.29,3876.76
-94.52658,32.46067,3500,150.69,3750.21
-94.515,30.5614,3500,174.1,3902.4
-94.4788,30.8785,3500,173.0,3969.5
-94.4729,30.5361,3500,151.6,3566.8
-94.3905,30.8278,3500,151.3,3917.7
-94.3535,30.8519,3000,159.6,3416.8
-94.3533,30.8438,4000,188.0,4422.3
-94.3075,30.9293,3500,152.8,3664.6
-94.2837,32.348,3500,151.5,3503.2
-94.1747,30.5985,3500,154.1,3816.8
-93.9005,30.9552,3500,164.7,3906.1
-93.896,30.8821,4000,168.0,4072.9
-93.896,30.8821,4500,184.7,4610.7
-93.7976,30.9274,4000,188.0,4302.1
-93.6123,30.7107,4000,155.8,4023.2
-93.4002,32.7832,3000,154.3,3274.7
-93.1672,32.8002,3500,180.4,3763.6000000000004
