,longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
0,-93.1672,32.8002,3879.3,173.9,19.1,193.0,19.35,44.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.09,93.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
1,-94.9812,32.6775,3929.3,165.6,19.1,184.7,20.89,42.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.12,89.0,BHT-C,,Harrison,2.0,87.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
2,-93.1672,32.8002,3647.9,148.9,18.9,167.8,19.35,40.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.09,85.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
3,-94.9812,32.6775,3595.1,142.2,18.9,161.1,20.89,39.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.12,84.0,BHT-C,,Harrison,2.0,87.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
4,-94.62969,32.5311,3514.0,157.78,,158.0,20.87,39.02,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,93.62,BHT-D,,Harrison,1.0,93.62,,,,,,,,,,,,,,,,Harrison County
5,-93.4002,32.7832,3274.7,136.1,18.2,154.3,19.49,41.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.1,87.0,BHT-C,,Harrison,2.0,84.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
6,-94.82366,32.53559,3879.28,132.22,,151.29,21.0,33.59,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,81.15,BHT-C,,Harrison,1.0,81.15,,,,,,,,,,,,,,,116.13,Gregg County
7,-94.69041,32.58534,3755.25,132.22,,151.24,20.85,34.72,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.37,84.1,BHT-C,,Harrison,1.0,84.1,,,,,,,,,,,,,,,108.81,Harrison County
8,-94.82131,32.56314,3398.0,151.11,,151.0,20.96,38.27,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,91.6,BHT-C,,Harrison,1.0,91.6,,,,,,,,,,,,,,,,Gregg County
9,-94.83413,32.51575,3380.95,131.67,,150.11,21.03,38.18,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,91.51,BHT-C,,Harrison,1.0,91.51,,,,,,,,,,,,,,,,Gregg County
10,-94.9829,32.6803,3696.3,131.1,19.0,150.1,20.9,35.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,72.0,BHT-C,,Harrison,1.0,72.0,,,,,4.0,,,Peak Energy Corp,Gas Well,Unknown,Wildcat,,KB,413.85,126.17,Upshur
11,-94.56122,32.55336,3498.06,131.11,,149.81,20.79,36.88,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,88.81,BHT-C,,Harrison,1.0,88.81,,,,,,,,,,,,,,,129.54,Harrison County
12,-94.75825,32.51843,3399.84,130.56,,149.05,20.98,37.67,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,89.95,BHT-C,,Harrison,1.0,89.95,,,,,,,,,,,,,,,,Gregg County
13,-94.72241,32.55275,3300.0,149.44,,149.0,20.92,38.81,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,92.67,BHT-D,,Harrison,1.0,92.67,,,,,,,,,,,,,,,,Gregg County
14,-94.9755,32.6806,3657.6,128.9,18.9,147.8,20.9,34.7,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,72.0,BHT-C,,Harrison,1.0,72.0,,,,,6.0,,,Peak Energy Corp,Gas Well,Unknown,Wildcat / Gilmer,,KB,428.85,130.75,Upshur
15,-94.6297,32.53102,3849.37,128.33,,147.4,20.87,32.87,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.38,80.24,BHT-D,,Harrison,1.0,80.24,,,,,,,,,,,,,,,110.34,Harrison County
16,-94.6111,32.6856,3740.2,128.3,19.0,147.3,20.66,34.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.11,72.0,BHT-C,,Harrison,3.0,66.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
17,-94.82437,32.55629,3319.0,147.22,,147.0,20.97,37.97,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.13,BHT-C,,Harrison,1.0,91.13,,,,,,,,,,,,,,,,Gregg County
18,-94.82124,32.51989,3286.0,146.67,,147.0,21.02,38.34,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,92.08,BHT-C,,Harrison,1.0,92.08,,,,,,,,,,,,,,,,Gregg County
19,-94.82287,32.54322,3292.0,147.22,,147.0,20.99,38.28,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.92,BHT-C,,Harrison,1.0,91.92,,,,,,,,,,,,,,,,Gregg County
20,-94.82741,32.5295,3286.0,146.67,,147.0,21.01,38.34,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,92.12,BHT-C,,Harrison,1.0,92.12,,,,,,,,,,,,,,,,Gregg County
21,-94.80647,32.54752,3298.0,147.22,,147.0,20.98,38.21,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.67,BHT-C,,Harrison,1.0,91.67,,,,,,,,,,,,,,,,Gregg County
22,-94.9116,32.8363,3879.9,127.8,19.1,146.9,20.7,32.5,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.08,68.0,BHT-C,,Harrison,1.0,68.0,,,,,8.0,,,Apache Corp,Dry Hole,Unknown,Cherokee Trace,,KB,406.0,123.78,Upshur
23,-94.7262,32.8305,3942.1,127.8,19.1,146.9,20.59,32.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.13,69.0,BHT-C,,Harrison,3.0,66.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
24,-94.9475,32.6547,3672.6,127.8,19.0,146.8,20.9,34.3,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,71.0,BHT-C,,Harrison,1.0,71.0,,,,,10.75,,,Medicine Bow Energy,Gas Well,Unknown,Mings Chapel,,KB,424.7,129.48,Upshur
25,-93.2172,32.9672,3447.6,127.8,18.6,146.4,19.27,36.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.12,78.0,BHT-C,,Harrison,1.0,78.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
26,-94.82652,32.52506,3288.0,146.11,,146.0,21.02,38.01,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.33,BHT-C,,Harrison,1.0,91.33,,,,,,,,,,,,,,,,Gregg County
27,-94.7991,33.0461,3900.0,126.7,19.1,145.8,20.36,32.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.16,70.0,BHT-C,,Harrison,2.0,68.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
28,-95.0111,32.6354,3597.6,126.1,18.9,145.0,21.0,34.5,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,71.0,BHT-C,,Harrison,1.0,71.0,,,,,8.0,,,"Vintage Petroleum, Inc.",Gas Well,Unknown,South Gilmer,,KB,449.0,136.89,Upshur
29,-94.54443,32.51365,3346.32,126.11,,144.47,20.83,36.95,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,88.4,BHT-C,,Harrison,1.0,88.4,,,,,,,,,,,,,,,,Harrison County
30,-94.9636,32.6517,3659.1,125.0,18.9,143.9,20.9,33.6,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,70.0,BHT-C,,Harrison,1.0,70.0,,,,,10.0,,,Medicine Bow Energy,Gas Well,Unknown,Mings Chapel,,KB,362.3,110.46,Upshur
31,-95.0627,32.5627,3809.1,124.4,19.1,143.5,21.04,32.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.11,69.0,BHT-C,,Harrison,2.0,62.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
32,-94.5413,33.0227,3924.7,124.4,19.1,143.5,20.18,31.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.15,68.0,BHT-C,,Harrison,2.0,65.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
33,-95.0452,32.5272,3813.7,124.4,19.1,143.5,21.08,32.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.11,69.0,BHT-C,,Harrison,2.0,62.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
