longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
-95.218,31.2634,521.3,57.2,0.0,57.2,22.4,66.8,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.99,133.0,BHT-G,,,1.0,,,,,,1.0,,,Range Resources,Oil Well,Unknown,Laura LaVelle,,KB,363.0,110.67,Houston
-93.9206,31.7049,841.5,65.0,0.0,65.0,21.1,52.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.0,104.0,BHT-C,,,1.0,104.0,,,,,4.25,,,"Ellora Operating, LP",Gas Well,Unknown,Huxley ,,KB,294.0,89.63,Shelby
-94.85021,32.51014,1144.3,79.44,,80.77,21.05,52.19,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.27,118.95,BHT-D,,Harrison,1.0,118.95,,,,,,,,,,,,,,,,Gregg County
-94.2976,32.6898,1791.5,101.7,8.7,110.4,20.5,50.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,104.0,BHT-C,,Harrison,1.0,104.0,,,,,7.0,,,"Harleton Oil & Gas, Inc.",Gas Well,Unknown,Woodlawn  ,Rodessa,KB,302.0,92.07,Harrison
-93.8744,31.7418,1847.2,103.3,9.2,112.5,21.0,49.5,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.0,99.0,BHT-C,,Harrison,3.0,78.0,,,,,,,,GNK Inc.,Gas Well,Unknown,Huxley,,DF,253.6,77.32,Shelby
-94.7995,31.8001,2791.2,142.2,16.2,158.4,21.8,48.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.02,99.0,BHT-C,,Harrison,2.0,86.0,,,,,4.0,,,ExxonMobil Production Co,Gas Well,Unknown,Trawick,,KB,447.5,136.43,Nacogdoches
-93.8704,31.7162,1190.2,76.7,1.9,78.6,21.0,48.4,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.0,97.0,BHT-C,,Harrison,1.0,97.0,,,,,4.0,,,"Samson Lonestar Partnership, Ltd",Gas Well,Unknown,Huxley ,,KB,213.0,64.94,Shelby
-94.73103,32.38374,3642.0,192.22,,192.0,21.14,46.91,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,111.83,BHT-D,,Harrison,1.0,111.83,,,,,,,,,,,,,,,,Gregg County
-94.82097,32.3483,3053.56,143.33,,160.74,21.23,45.69,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.32,107.58,BHT-D,,Harrison,1.0,107.58,,,,,,,,,,,,,,,,Rusk County
-94.6304,32.6303,2681.7,126.1,15.6,141.7,20.7,45.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,93.0,BHT-C,,Harrison,1.0,93.0,,,,,10.0,,,"Brammer Engineering, Inc.",Gas Well,Unknown,North Lansing,,KB,236.1,71.98,Harrison
