well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,5538.7,30.6361,-95.3651,205.2,0.0329,1.98,274.6785306990074,97.72513796312177,134.37704899973613,16.69247331450022,
1,5187.8,30.6815,-94.8103,202.4,0.0347,1.97,296.9638739989999,102.11735723838859,137.88598296754952,15.736251232585737,
2,4633.2,30.8095,-94.8958,199.7,0.038299999999999994,1.98,270.53332019900273,97.84912307098472,130.07768168088262,15.187441700752878,
3,4878.0,30.6731,-94.5637,199.1,0.0363,1.97,272.4950582990008,100.32231011384403,135.14152652279478,14.970662871028281,
4,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,268.6493744990046,101.70934927008447,133.3347276272324,13.539682347485414,
5,4724.1,30.7657,-95.2341,193.5,0.0361,1.98,270.02542259900326,106.16512417533924,143.60961751397542,13.384237357626516,
6,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,267.69496019900436,100.61654123919702,130.2201874246606,13.427091513686541,
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,266.7345944990045,99.38427505544676,127.06435432523669,13.38136080694387,
8,4695.7,30.6776,-95.4402,188.5,0.0352,1.98,272.0781725989993,112.92455121312244,153.82166668145672,12.16461280325562,
9,4302.1,30.9274,-93.7976,188.0,0.038700000000000005,1.97,271.19617259899934,110.41249806272162,147.38359686010466,12.116716894511745,
10,4422.3,30.8438,-94.3533,188.0,0.0375,1.97,271.24988639899937,111.53100743147458,149.89735086904278,12.063550763744356,
11,4610.7,30.8821,-93.896,184.7,0.0354,1.96,270.07078259899924,117.345013665584,160.3000799506021,11.327983938415839,
12,3929.3,32.6775,-94.9812,184.7,0.042,2.12,269.37400259899925,109.9373117272656,144.3088059646882,11.733940663416389,
13,3739.6,31.9197,-94.549,184.0,0.0437,2.02,268.6507163989992,110.1891883106883,143.4421987700001,11.470628368719112,
14,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,267.9124382989993,112.6657883510585,148.62502240379075,11.26918771311031,
15,4729.3,30.6814,-94.6912,183.0,0.034,1.97,269.04506069899924,120.94045533620826,166.8792764632845,10.924073263227193,
16,4693.0,30.6938,-94.6943,181.9,0.034,1.97,268.1560025989992,122.56568744262319,169.24047482137786,10.651349648643967,
17,4607.0,30.7035,-94.6572,179.1,0.034,1.97,265.6008406989993,126.54876108594333,175.06218525780918,10.020366284567492,
18,4618.9,30.6826,-94.6836,179.1,0.0339,1.97,265.5424963989994,126.7539672437769,175.48473642368694,10.006843325191353,
19,4342.7,30.7348,-94.6705,174.7,0.0351,1.97,261.39621019899937,131.38523179891232,180.82909241258423,9.161179969518479,
20,3902.4,30.5614,-94.515,174.1,0.0389,1.96,260.2560025989992,128.23624204749447,172.35456588941722,9.070512741662776,
21,4333.2,30.7326,-94.6562,173.5,0.0349,1.97,260.21710639899925,133.53420714434347,184.19814686519896,8.917443333088814,
22,3637.8,31.9197,-94.549,173.3,0.042,2.02,260.1050482989993,125.29636079759466,165.73176754678389,9.148556509786115,
23,3969.5,30.8785,-94.4788,173.0,0.038,1.97,259.0846125989994,131.1365062646196,177.43931303265398,8.812052566302219,
24,4970.7,30.5403,-94.6683,172.4,0.030199999999999998,1.96,259.7619444989994,142.27672166212025,203.78836232924888,8.674045585890784,
25,3739.9,30.9345,-94.7213,172.3,0.040100000000000004,1.98,258.08349639899944,130.07235572461087,173.91449746863907,8.700922523810979,
26,3866.37,32.43492,-94.67283,171.84,0.039009999999999996,2.38,258.2881644989994,130.69453332403268,175.95193102282536,8.749766673902029,
27,4538.4,30.6814,-94.6912,169.1,0.032299999999999995,1.97,255.06723069899957,145.23317102763554,205.0012033520239,7.987713645079339,
28,3747.0,30.5516,-94.8048,168.4,0.0389,1.97,253.73717259899956,137.50620512150567,185.58511627643352,7.951007691917878,
29,4072.9,30.8821,-93.896,168.0,0.0359,1.96,253.36933449899956,142.2234688018979,195.963468652369,7.82013448787666,
30,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,253.13300259899958,137.0866437500102,184.07638573299738,7.89661662604234,
31,4835.1,32.4697,-95.2691,165.8,0.0299,2.07,251.47465829899966,155.8997492103629,225.50632696615406,7.407719506724637,
32,3428.8,32.4382,-94.58102,165.78,0.04224,2.35,250.7560025989997,138.16615028777585,183.81274315020576,7.597797870834038,
33,3811.6,32.39271,-94.7845,165.72,0.03793,2.35,251.08494449899968,142.52007477906108,194.09812006400264,7.5549689639438276,
34,3906.1,30.9552,-93.9005,164.7,0.0366,1.93,248.79972449899967,147.77081583239283,203.33955038693512,7.209209678562246,
35,4416.5,32.4697,-95.2691,162.4,0.032,2.07,246.6291644989997,158.60358415833912,226.01843592220808,6.854747160029834,
36,3970.7,31.8179,-94.7663,161.9,0.0356,2.02,246.9581063989997,151.61272933430405,210.1660063420766,6.970809633538951,
37,3595.1,32.6775,-94.9812,161.1,0.0394,2.12,246.1344506989997,147.92064389674303,200.60288084550132,6.931132994840557,
38,3053.56,32.3483,-94.82097,160.74,0.045689999999999995,2.32,243.6082682989997,145.11658177167618,190.91908803612174,6.703772893633824,
39,3989.46,32.35129,-94.69189,160.71,0.03498,2.37,244.2707825989997,156.65249366960128,218.51938488674662,6.6331229477867275,
40,3757.3,32.1491,-95.1434,160.7,0.037,2.05,243.1672682989997,155.13292774035838,213.707554054542,6.54635695656227,
41,4405.5,30.6826,-94.6836,160.2,0.0313,1.97,242.85517259899967,165.1782844875136,236.89975938979288,6.424056898670612,
42,3902.1,30.8359,-94.9089,159.7,0.0352,1.98,241.8813925989998,159.30967611156223,221.96492250643647,6.386390893703744,
43,3416.8,30.8519,-94.3535,159.6,0.0404,1.93,241.9156582989998,152.560357133181,206.12120736093112,6.450747595529892,
44,3655.5,32.1901,-95.1436,159.5,0.0378,2.06,241.8082306989998,155.9263557918576,213.93870874373906,6.410955766953316,
45,3419.67,32.37636,-94.82854,159.09,0.04032,2.35,241.3820482989998,153.45256178626676,207.55745591716322,6.391652557454623,
46,2791.2,31.8001,-94.7995,158.4,0.0489,2.02,239.00439259899983,148.80685457905463,193.87116323838558,6.225961155441886,
47,3514.0,32.5311,-94.62969,158.0,0.039020000000000006,2.35,239.7424963989998,157.51811877318127,214.98029280552566,6.198025514283757,
48,3902.89,32.44229,-94.67079,157.96,0.03509,2.38,239.9982763989998,162.79705354138343,227.63900792017887,6.172436768852252,
49,3874.7,31.8179,-94.7663,156.9,0.0352,2.02,239.41355449899982,163.31477817108006,228.18798341984936,6.118970159297798,
50,3921.15,32.48026,-94.61828,156.29,0.03452,2.39,237.33300259899983,167.90307379961706,236.1923369852469,5.89201495926911,
51,3511.91,32.46356,-94.66045,155.95,0.03843,2.35,236.46339259899983,163.08731220736806,223.8409483172884,5.8584406635891755,
52,3981.7,30.759,-95.2264,155.8,0.0337,1.95,237.42561259899983,168.27657534993776,237.5194500339539,5.91334672389013,
53,4023.2,30.7107,-93.6123,155.8,0.0334,1.95,235.4693344989998,172.23498249255843,244.56095416929307,5.728977980694802,
54,4355.5,30.7504,-94.8177,155.8,0.030600000000000002,1.97,235.41562069899982,178.0768663773807,258.11455394666893,5.6791311468749415,
55,3852.21,32.48669,-94.58851,155.73,0.035,2.38,236.3124382989998,168.5742105079523,236.53157058899234,5.802945964876236,
56,3861.65,32.44219,-94.6713,155.18,0.03474,2.38,235.35987829899983,170.39385585443094,239.62763887900041,5.711735519724553,
57,3867.95,32.40765,-94.77327,155.18,0.03465,2.36,235.26726829899982,170.61379332281575,240.0656573082402,5.704306583324386,
58,3990.09,32.45883,-94.59313,155.16,0.03364,2.39,235.54249639899982,172.39088658444942,244.35468938012733,5.7034910651495325,
59,3716.5,32.1937,-95.1323,155.1,0.0359,2.06,234.09345069899996,170.11702837613578,237.53984579350714,5.618385457901328,
60,3354.82,32.4292,-94.59324,155.05,0.03997,2.34,234.81921019899983,163.4304931513241,222.64071762943027,5.721949921896453,
61,3302.25,32.4312,-94.57432,154.91,0.04056,2.34,234.52916449899985,163.16188153633877,221.61834661934856,5.699191425470904,
62,3958.92,32.45876,-94.6002,154.61,0.03376,2.39,234.52916449899985,173.69973109534521,246.17020372367128,5.613055373805643,
63,3274.7,32.7832,-93.4002,154.3,0.0412,2.1,233.11178259899995,164.98960635925937,224.21529466603118,5.57552901554138,
64,3816.8,30.5985,-94.1747,154.1,0.0346,1.96,232.30294449899995,174.70321625767792,246.25516221966552,5.454339989097244,
65,3809.08,32.4743,-94.64668,154.05,0.03494,2.37,233.42833449899993,173.12832211785295,243.50715382264926,5.532641318946092,
