well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,5538.7,30.6361,-95.3651,205.2,0.0329,1.98,334.6551844990018,86.44362404532562,118.43792471148026,19.12250101316731,
1,5187.8,30.6815,-94.8103,202.4,0.0347,1.97,344.7672682989993,86.39875076016503,116.82422568445983,18.49976317934016,
2,4633.2,30.8095,-94.8958,199.7,0.038299999999999994,1.98,338.26806069899914,84.58669878971244,111.84655533815308,17.955683446731893,
3,4878.0,30.6731,-94.5637,199.1,0.0363,1.97,343.46128879899913,86.52239351937372,115.87043069329795,17.761554110164628,
4,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,331.59299019899925,86.07077707642438,112.11948087815581,16.43834489170862,
5,4724.1,30.7657,-95.2341,193.5,0.0361,1.98,333.58287829899905,89.27318416948933,119.96573841734255,16.328585184969587,
6,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,330.49410639899924,85.17789195915674,109.54366522540292,16.31349278874148,
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,328.6693344989992,84.21882474005211,107.02600564875935,16.24037312443371,
8,4695.7,30.6776,-95.4402,188.5,0.0352,1.98,335.8654963989991,93.15140911893913,125.95863917475812,15.164266339946062,
9,4302.1,30.9274,-93.7976,188.0,0.038700000000000005,1.97,335.1492682989991,91.23039548130423,120.88714074362068,15.105107908659425,
10,4422.3,30.8438,-94.3533,188.0,0.0375,1.97,335.4439444989991,92.03605346954869,122.7711805040088,15.058806529721721,
11,4610.7,30.8821,-93.896,184.7,0.0354,1.96,337.08349639899916,95.76216555171025,129.64503539023457,14.361071044726648,
12,3929.3,32.6775,-94.9812,184.7,0.042,2.12,334.2330025989991,90.58712781708984,117.99406814666763,14.715727806347509,
13,3739.6,31.9197,-94.549,184.0,0.0437,2.02,334.6934506989991,90.53458978041218,116.90403846522257,14.46495638490962,
14,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,333.7707825989992,92.26285168127916,120.69207977374981,14.254040146353184,
15,4729.3,30.6814,-94.6912,183.0,0.034,1.97,337.50504829899916,98.04926755847606,133.96145068258846,13.974061278427866,
16,4693.0,30.6938,-94.6943,181.9,0.034,1.97,337.7997244989991,98.98409871798812,135.24963956955506,13.708591364514284,
17,4607.0,30.7035,-94.6572,179.1,0.034,1.97,338.3209444989992,101.27069111354858,138.40389215939072,13.091310908546578,
18,4618.9,30.6826,-94.6836,179.1,0.0339,1.97,338.3403925989992,101.40831053298544,138.694313175801,13.0783977293255,
19,4342.7,30.7348,-94.6705,174.7,0.0351,1.97,338.3941063989992,103.76278978791623,140.77053174735622,12.239712057171122,
20,3902.4,30.5614,-94.515,174.1,0.0389,1.96,337.8339901989992,101.39556256234384,134.35747812346435,12.140551049192782,
21,4333.2,30.7326,-94.6562,173.5,0.0349,1.97,338.4135544989992,104.97556357863044,142.63086509163637,11.9981196096839,
22,3637.8,31.9197,-94.549,173.3,0.042,2.02,336.8982763989992,99.37018595656038,129.67413505804075,12.207174794359515,
23,3969.5,30.8785,-94.4788,173.0,0.038,1.97,337.9117825989991,103.13361957967733,137.46321008478012,11.885453953976072,
24,4970.7,30.5403,-94.6683,172.4,0.030199999999999998,1.96,339.1834963989992,110.86672324246253,156.2012580664493,11.769278702895178,
25,3739.9,30.9345,-94.7213,172.3,0.040100000000000004,1.98,337.52449639899913,102.24165703987907,134.65345880782627,11.769388240858937,
26,3866.37,32.43492,-94.67283,171.84,0.039009999999999996,2.38,335.81178259899906,102.72454807109702,136.28963174446105,11.7977262915829,
27,4538.4,30.6814,-94.6912,169.1,0.032299999999999995,1.97,338.3941063989992,111.8742145739029,154.99309320679492,11.071946731306708,
28,3747.0,30.5516,-94.8048,168.4,0.0389,1.97,337.5633925989991,106.44614162225015,141.13309792665495,11.020736125046634,
29,4072.9,30.8821,-93.896,168.0,0.0359,1.96,338.13572449899925,109.54554587871394,148.11864805362578,10.895002022484233,
30,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,336.8471644989991,106.08263849739359,139.9491760564783,10.956537176229856,
31,4835.1,32.4697,-95.2691,165.8,0.0299,2.07,337.94604829899913,118.22635701799061,167.41359864970127,10.482921723862214,
32,3428.8,32.4382,-94.58102,165.78,0.04224,2.35,335.4640482989993,106.37901766499911,138.97995810237373,10.63814667332116,
33,3811.6,32.39271,-94.7845,165.72,0.03793,2.35,335.8513344989992,109.28080645316186,146.03306750966735,10.602627434255442,
34,3906.1,30.9552,-93.9005,164.7,0.0366,1.93,337.59765829899914,112.35338563873341,151.34837568194445,10.273285325426253,
