well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,5538.7,30.6361,-95.3651,205.2,0.0329,1.98,586.2539363989999,209.90761515192122,261.30098955252276,4.912109400166095,
1,5187.8,30.6815,-94.8103,202.4,0.0347,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
2,4633.2,30.8095,-94.8958,199.7,0.038299999999999994,1.98,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
3,4878.0,30.6731,-94.5637,199.1,0.0363,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
4,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
5,4724.1,30.7657,-95.2341,193.5,0.0361,1.98,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
6,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
8,4695.7,30.6776,-95.4402,188.5,0.0352,1.98,610.3949363989999,179.7144932272674,219.95082484777978,6.274177275414239,
9,4302.1,30.9274,-93.7976,188.0,0.038700000000000005,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
10,4422.3,30.8438,-94.3533,188.0,0.0375,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
11,4610.7,30.8821,-93.896,184.7,0.0354,1.96,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
12,3929.3,32.6775,-94.9812,184.7,0.042,2.12,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
13,3739.6,31.9197,-94.549,184.0,0.0437,2.02,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
14,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
15,4729.3,30.6814,-94.6912,183.0,0.034,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
16,4693.0,30.6938,-94.6943,181.9,0.034,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
17,4607.0,30.7035,-94.6572,179.1,0.034,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
18,4618.9,30.6826,-94.6836,179.1,0.0339,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
19,4342.7,30.7348,-94.6705,174.7,0.0351,1.97,606.1270606989998,184.51832086368455,226.49082130761363,6.014649468803918,
20,3902.4,30.5614,-94.515,174.1,0.0389,1.96,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
21,4333.2,30.7326,-94.6562,173.5,0.0349,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
22,3637.8,31.9197,-94.549,173.3,0.042,2.02,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
23,3969.5,30.8785,-94.4788,173.0,0.038,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
24,4970.7,30.5403,-94.6683,172.4,0.030199999999999998,1.96,538.6813925989995,261.6447501115142,335.3798534379674,3.4237407436965137,
25,3739.9,30.9345,-94.7213,172.3,0.040100000000000004,1.98,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
26,3866.37,32.43492,-94.67283,171.84,0.039009999999999996,2.38,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
27,4538.4,30.6814,-94.6912,169.1,0.032299999999999995,1.97,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
28,3747.0,30.5516,-94.8048,168.4,0.0389,1.97,643.7129363989999,147.44895082258915,176.55522315271764,8.6733840265122,
29,4072.9,30.8821,-93.896,168.0,0.0359,1.96,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
30,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
31,4835.1,32.4697,-95.2691,165.8,0.0299,2.07,520.3156582989996,278.0758122898587,360.1852866971583,3.0745523500392427,
32,3428.8,32.4382,-94.58102,165.78,0.04224,2.35,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
33,3811.6,32.39271,-94.7845,165.72,0.03793,2.35,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
34,3906.1,30.9552,-93.9005,164.7,0.0366,1.93,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
35,4416.5,32.4697,-95.2691,162.4,0.032,2.07,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
36,3970.7,31.8179,-94.7663,161.9,0.0356,2.02,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
37,3595.1,32.6775,-94.9812,161.1,0.0394,2.12,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
38,3053.56,32.3483,-94.82097,160.74,0.045689999999999995,2.32,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
39,3989.46,32.35129,-94.69189,160.71,0.03498,2.37,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
40,3757.3,32.1491,-95.1434,160.7,0.037,2.05,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
41,4405.5,30.6826,-94.6836,160.2,0.0313,1.97,562.1050482989998,243.0510697763797,307.66203545745884,3.9072295985413277,
42,3902.1,30.8359,-94.9089,159.7,0.0352,1.98,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
43,3416.8,30.8519,-94.3535,159.6,0.0404,1.93,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
44,3655.5,32.1901,-95.1436,159.5,0.0378,2.06,629.8058406989999,159.81618254244887,193.07879362591225,7.589598930342447,
45,3419.67,32.37636,-94.82854,159.09,0.04032,2.35,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
46,2791.2,31.8001,-94.7995,158.4,0.0489,2.02,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
47,3514.0,32.5311,-94.62969,158.0,0.039020000000000006,2.35,639.932716399,150.78822394262716,180.99555639567936,8.357238358991298,
48,3902.89,32.44229,-94.67079,157.96,0.03509,2.38,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
49,3874.7,31.8179,-94.7663,156.9,0.0352,2.02,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
50,3921.15,32.48026,-94.61828,156.29,0.03452,2.39,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
51,3511.91,32.46356,-94.66045,155.95,0.03843,2.35,634.8896125989999,155.23791257452282,186.93840474888412,7.96359489029091,
52,3981.7,30.759,-95.2264,155.8,0.0337,1.95,0.0,0.0,0.0,0.0,GenGeo::SemiAnalyticalWell:BelowSaturationPressure - Below saturation pressure of water at 500.0 m !
53,4023.2,30.7107,-93.6123,155.8,0.0334,1.95,584.6338325989999,212.18688259059095,264.4481787321646,4.830532270297588,
54,4355.5,30.7504,-94.8177,155.8,0.030600000000000002,1.97,547.1156582989997,254.77024731315745,325.072416505799,3.590925861870473,
