well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,521.3,31.2634,-95.218,57.2,0.0668,1.99,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 20.000 MPa!
1,841.5,31.7049,-93.9206,65.0,0.0522,2.0,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 20.000 MPa!
2,1144.3,32.51014,-94.85021,80.77,0.05219,2.27,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 20.000 MPa!
3,1791.5,32.6898,-94.2976,110.4,0.0502,2.07,25.627716398999997,784.7317736554186,1477.5743517984754,0.36436830740983256,
4,1847.2,31.7418,-93.8744,112.5,0.0495,2.0,24.816276398999996,819.7175008125147,1555.4540440394,0.34312537527662273,
5,2791.2,31.8001,-94.7995,158.4,0.0489,2.02,24.356002598999996,846.2149909253468,1613.3202429162845,0.32909418472138496,
6,1190.2,31.7162,-93.8704,78.6,0.0484,2.0,23.086716398999997,917.130151389857,1771.0115306745151,0.2956498216543156,
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,20.874658298999993,1117.2261019027776,2211.06401166035,0.23079276668642867,
8,3053.56,32.3483,-94.82097,160.74,0.045689999999999995,2.32,19.200840698999997,1285.6392136810407,2590.7073414736933,0.19343808351709219,
9,2681.7,32.6303,-94.6304,141.7,0.0451,2.07,18.16343019899999,1369.7039429987549,2788.920872916868,0.17787969701997297,
10,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,16.969334498999995,1544.4185490719115,3187.478911212667,0.1536461369992101,
11,3739.6,31.9197,-94.549,184.0,0.0437,2.02,16.767268298999994,1572.1224877760421,3251.5211179776666,0.15032159307474346,
12,1237.8,32.6172,-93.4342,73.6,0.0437,2.08,15.843944498999992,1744.6086810066456,3647.260271805581,0.13268318735825144,
13,519.8,31.2644,-95.212,45.0,0.0435,1.99,16.988782598999997,1534.8112846763092,3166.155665714693,0.15474959207494912,
14,2495.73,32.59281,-94.64352,128.92,0.04332,2.3,15.897658298999993,1798.3641344106632,3761.0647850001155,0.12862372946360037,
15,1263.4,31.7002,-93.3002,75.0,0.0432,1.98,15.495554498999994,1795.5737426398473,3767.620726306859,0.12801412927293496,
16,1117.54,32.51474,-94.82837,69.31,0.0432,2.27,15.863392598999992,1798.103193032665,3761.5438148553844,0.1285752544251089,
17,1124.47,32.49132,-94.83458,69.4,0.04298,2.27,15.607612598999994,1852.39716897372,3886.563063572346,0.1241048619337228,
18,2364.78,32.30692,-94.66516,122.46,0.04283,2.3,15.476106398999994,1893.0690539434256,3978.564009450272,0.12105034195016616,
19,2013.4,32.6804,-94.2828,105.8,0.0424,2.07,14.723840699000002,2005.73102965635,4248.518718852113,0.1125607558466561,
20,3428.8,32.4382,-94.58102,165.78,0.04224,2.35,14.646048299000002,2116.4703409883136,4492.261893319348,0.10625927062151398,
21,3637.8,31.9197,-94.549,173.3,0.042,2.02,14.704392599000002,1999.4590492086643,4235.444222598774,0.11290319833234674,
22,3929.3,32.6775,-94.9812,184.7,0.042,2.12,14.409716399000002,2105.5945540268494,4477.453357888455,0.10643545774665777,
23,2135.7,32.1338,-94.3136,110.7,0.0419,2.04,14.468060699000002,2068.527984667181,4394.360887235518,0.10854170874471616,
24,2589.9,31.0513,-93.7674,129.5,0.0417,1.97,14.336554499000002,2078.8255341144472,4421.699007950762,0.10775224540234288,
25,2365.2,30.6835,-94.076,119.7,0.0415,1.91,14.317106399000002,2065.615997098326,4393.539249211203,0.10844424414349606,
26,1280.5,32.0602,-94.0819,74.1,0.0414,2.03,13.856658299000001,2241.9260864211624,4797.135215998259,0.09879812754943952,
27,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,14.356002599000002,2085.516709178572,4435.410085500001,0.10743035409318882,
28,3274.7,32.7832,-93.4002,154.3,0.0412,2.1,12.920944498999999,2583.7315489103726,5591.773948191297,0.08392497311866304,
29,1115.2,31.7591,-93.9638,67.0,0.0412,2.0,13.637172599,2298.5853603539476,4930.562627609786,0.09591643538876775,
30,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,13.474002599,2512.89152139248,5409.105730061986,0.0871654716504631,
31,2309.0,32.40481,-94.81602,116.0,0.04107,2.3,13.435106399,2498.9468984495315,5380.105881958742,0.08762094662057483,
32,2227.1,33.4578,-93.7058,110.3,0.041,2.18,12.492334499000002,2797.1952357292334,6086.814738820268,0.07674136089667513,
33,2226.5,33.4501,-93.7168,110.3,0.041,2.18,12.511782599000002,2794.2644004650915,6079.214502584531,0.07685044510617388,
34,982.6,33.4287,-93.9445,59.2,0.0409,2.18,12.472886399000002,2814.970353838832,6127.229398093891,0.07621682788890304,
35,2454.18,32.42982,-94.78846,121.42,0.04087,2.3,13.196172598999999,2590.744573651743,5593.691237425849,0.08406738639246127,
36,2893.6,32.0238,-94.3185,139.5,0.040799999999999996,2.03,13.269334499,2438.0721602170697,5253.510507812515,0.08966627797588167,
37,3112.0,32.3553,-94.61178,148.0,0.040780000000000004,2.36,13.052450699,2673.9288749087495,5784.494347497335,0.08115883742815536,
38,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,12.329164499000003,2829.563622222044,6167.32430756678,0.07563450507638068,
39,3145.0,32.33463,-94.55943,149.0,0.04068,2.35,12.940392598999999,2717.721796045525,5886.951702111845,0.07965653644004433,
40,2042.7,32.4027,-94.1788,103.8,0.040600000000000004,2.05,12.847782598999999,2608.6631368291933,5650.146793117816,0.08300221406006261,
41,3302.25,32.4312,-94.57432,154.91,0.04056,2.34,12.774620698999998,2786.12366676195,6046.949467198779,0.07741900148901897,
42,3416.8,30.8519,-94.3535,159.6,0.0404,1.93,13.140430199,2445.707017964794,5276.039773646544,0.08919441609565867,
43,2324.48,32.32195,-94.66361,114.95,0.040350000000000004,2.3,12.638658299000003,2826.8671356897307,6144.432941972561,0.0760949118240123,
44,3419.67,32.37636,-94.82854,159.09,0.04032,2.35,12.604392599000002,2869.650753099765,6241.233952205711,0.07487576684045444,
45,2140.2,32.1346,-94.2621,107.4,0.040299999999999996,2.04,12.684612599,2670.6845425583983,5795.5738322228535,0.08078682285942933,
46,2618.9,32.3838,-95.095,126.9,0.040299999999999996,2.06,12.716276398999998,2667.0065688420677,5785.837714847104,0.08094374644899183,
47,2509.9,32.57,-94.78284,121.79,0.04018,2.3,12.368060699000003,2956.7858691209894,6447.887950045317,0.07231237347050304,
48,3207.3,30.5526,-95.017,151.3,0.040100000000000004,1.97,13.157276398999999,2465.9425486579657,5319.774797799157,0.08845995680910135,
49,3739.9,30.9345,-94.7213,172.3,0.040100000000000004,1.98,12.901496399,2561.9965646861388,5544.057077081849,0.08465618871584822,
50,3242.13,32.39758,-94.53929,150.85,0.040060000000000005,2.34,12.236554499000002,3044.2727442609926,6650.192672365658,0.07000984007765872,
51,2433.8,31.7767,-94.7667,119.1,0.04,2.01,12.584944499000002,2705.470385333537,5877.6292784955085,0.07958298622545075,
