well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,521.3,31.2634,-95.218,57.2,0.0668,1.99,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
1,841.5,31.7049,-93.9206,65.0,0.0522,2.0,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
2,1144.3,32.51014,-94.85021,80.77,0.05219,2.27,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
3,1791.5,32.6898,-94.2976,110.4,0.0502,2.07,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
4,1847.2,31.7418,-93.8744,112.5,0.0495,2.0,134.46806069900006,109.10451269024361,139.88716671988,13.37159143222198,
5,2791.2,31.8001,-94.7995,158.4,0.0489,2.02,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
6,1190.2,31.7162,-93.8704,78.6,0.0484,2.0,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
8,3053.56,32.3483,-94.82097,160.74,0.045689999999999995,2.32,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
9,2681.7,32.6303,-94.6304,141.7,0.0451,2.07,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
10,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
11,3739.6,31.9197,-94.549,184.0,0.0437,2.02,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
12,1237.8,32.6172,-93.4342,73.6,0.0437,2.08,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
