well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b,lcoe_g,power,error
0,5831.4,30.3349,-94.21,229.1,0.0355,1.94,29.529782598999994,385.88768726617667,791.1394033008445,1.7090751606017394,
1,5538.7,30.6361,-95.3651,205.2,0.0329,1.98,33.395554498999985,465.4626682882974,965.4307737569196,1.29568251440548,
2,5187.8,30.6815,-94.8103,202.4,0.0347,1.97,32.95455449899998,448.43692720772884,923.3217406766312,1.2549858736731294,
3,4633.2,30.8095,-94.8958,199.7,0.038299999999999994,1.98,32.49410639899998,408.96403751099945,828.270244985687,1.235998086237848,
4,4878.0,30.6731,-94.5637,199.1,0.0363,1.97,32.76933449899998,435.62173321689664,890.8785964706937,1.212347456695565,
5,4725.6,30.3487,-95.0158,198.5,0.0371,1.96,32.459840698999976,428.2450398332079,872.7023614755263,1.1943820911749394,
6,4782.6,30.2563,-95.1022,198.0,0.0365,1.96,32.567268298999984,435.9677096667441,890.6602326394976,1.1847341473080537,
7,5176.5,30.2185,-95.0753,197.4,0.033600000000000005,1.96,33.190886398999986,477.7496112556095,989.1208160437482,1.1622457418132162,
8,4579.3,30.3465,-94.9752,196.9,0.038,1.96,32.32833449899998,420.99871787256546,854.7043455206802,1.1781800852774647,
9,4574.4,30.1906,-95.3201,196.9,0.037899999999999996,1.96,32.32833449899998,420.6098057526205,853.7692410200357,1.1781437371276877,
10,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,32.25517259899998,393.5302842316658,787.5428219396749,1.1506884336252274,
11,4724.1,30.7657,-95.2341,193.5,0.0361,1.98,33.17143829899999,449.76609278525325,920.2523990974812,1.1278677649334308,
12,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,37.28606069899999,316.47148488786837,606.2230085003433,1.3535224572068587,
13,4695.7,30.6776,-95.4402,188.5,0.0352,1.98,33.488164498999986,474.2478184314078,974.5217639086238,1.0529473749473977,
14,4422.3,30.8438,-94.3533,188.0,0.0375,1.97,32.97400259899998,450.38228175571044,917.6677238962787,1.0487377444409904,
15,4302.1,30.9274,-93.7976,188.0,0.038700000000000005,1.97,32.78878259899998,437.2490165958156,886.7576067978364,1.0551954432388875,
16,5260.7,30.1856,-94.9525,186.9,0.031100000000000003,1.95,33.89026829899999,553.4922018057747,1160.8967032994638,0.9986281352223139,
17,4301.2,30.346,-95.1115,185.8,0.0378,1.96,32.78878259899998,451.54940732769256,918.7222233365976,1.0150472249532658,
18,4610.7,30.8821,-93.896,184.7,0.0354,1.96,33.302944498999985,489.13650832586137,1006.999061964681,0.9948923541653761,
19,3739.6,31.9197,-94.549,184.0,0.0437,2.02,32.99345069899998,390.77087353361054,774.7512768143814,1.0517988745222129,
20,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,39.235106398999996,368.8332024919876,723.2584192197837,1.2106037523516775,
21,4729.3,30.6814,-94.6912,183.0,0.034,1.97,33.763392598999985,511.48567963528956,1058.4935952189028,0.9713917778120444,
22,4693.0,30.6938,-94.6943,181.9,0.034,1.97,33.79765829899999,515.2887664639724,1066.4820109694756,0.9550072909310817,
23,4554.0,30.0975,-95.3607,181.9,0.0347,1.96,33.43445069899998,501.50171786253475,1033.8034511539877,0.9535639209913991,
24,4419.2,30.322,-95.2172,181.9,0.0359,1.97,33.41500259899998,483.9127509400188,992.2605587432297,0.9632202308985354,
