well,synthetic_depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,5000.0,30.3349,-94.21,229.1,0.0355,1.94,32.42094449899998,449.9186299895228,924.9337461781032,1.1980305611354338,
0,6000.0,30.3349,-94.21,229.1,0.0355,1.94,28.77465829899999,373.4195560746721,764.7471633202247,1.8375009978756758,
0,7000.0,30.3349,-94.21,229.1,0.0355,1.94,31.149886398999993,331.5179474657423,663.8363084755833,2.665433025534537,
0,8000.0,30.3349,-94.21,229.1,0.0355,1.94,34.864703999,330.8498839265131,634.5531035738989,3.5205587358870343,
1,5000.0,30.6361,-95.3651,205.2,0.0329,1.98,34.01917259899999,511.8029018247375,1062.7788382234455,1.0328629411927852,
1,6000.0,30.6361,-95.3651,205.2,0.0329,1.98,32.60616449899998,431.8856669380234,894.7545249065128,1.5534958907495895,
1,7000.0,30.6361,-95.3651,205.2,0.0329,1.98,32.031886398999994,368.5467193641828,757.7002004175614,2.276151640811458,
1,8000.0,30.6361,-95.3651,205.2,0.0329,1.98,32.65727639899998,348.8108136206015,697.4185901219154,3.0670716349971996,
2,5000.0,30.6815,-94.8103,202.4,0.0347,1.97,33.22978259899998,464.4898850651039,956.925095892991,1.1556497457573571,
2,6000.0,30.6815,-94.8103,202.4,0.0347,1.97,30.063392598999993,388.12326868110375,797.2385671456932,1.7576093377799749,
2,7000.0,30.6815,-94.8103,202.4,0.0347,1.97,31.702944498999994,338.6199917301674,683.5176185080907,2.5682181193942517,
2,8000.0,30.6815,-94.8103,202.4,0.0347,1.97,33.90954209899999,337.27208496551935,649.6081279808419,3.4232521252571853,
3,4000.0,30.8095,-94.8958,199.7,0.038299999999999994,1.98,33.395554498999985,473.76898703846064,962.8717403709576,0.8910716687102849,
3,5000.0,30.8095,-94.8958,199.7,0.038299999999999994,1.98,31.66404829899999,378.90402740324777,765.861793218118,1.4706582383656848,
3,6000.0,30.8095,-94.8958,199.7,0.038299999999999994,1.98,30.913554498999996,313.7812952418506,625.1858236163214,2.3091021590582406,
3,7000.0,30.8095,-94.8958,199.7,0.038299999999999994,1.98,32.19682829899998,309.1230920052027,582.1920830627704,3.243767558508328,
4,4000.0,30.6731,-94.5637,199.1,0.0363,1.97,33.78284069899998,530.2096332777854,1088.5624303912982,0.780555965396516,
4,5000.0,30.6731,-94.5637,199.1,0.0363,1.97,32.53300259899998,425.231786366269,869.2250858962291,1.2817369694490568,
4,6000.0,30.6731,-94.5637,199.1,0.0363,1.97,29.088782598999995,349.57000496972455,710.4376214486203,1.9926001557750075,
4,7000.0,30.6731,-94.5637,199.1,0.0363,1.97,31.517724498999993,318.89489984438075,629.6470769736168,2.8504139298717197,
5,4000.0,30.3487,-95.0158,198.5,0.0371,1.96,33.35665829899999,504.82598722133645,1032.3356414618415,0.8261945598138363,
5,5000.0,30.3487,-95.0158,198.5,0.0371,1.96,31.941878298999992,405.23337368150334,824.7941635567482,1.3563770493530474,
5,6000.0,30.3487,-95.0158,198.5,0.0371,1.96,30.947994498999993,333.3112254790707,672.5080572141969,2.1199044375848133,
