well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,5831.4,30.3349,-94.21,229.1,0.0355,1.94,302.2846125989992,99.45520586546428,129.2708225299727,23.2296265899654,
1,5538.7,30.6361,-95.3651,205.2,0.0329,1.98,274.6785306990074,103.47367549036423,142.2815812938383,16.69247331450022,
2,5187.8,30.6815,-94.8103,202.4,0.0347,1.97,296.9638739989999,108.12426060535265,145.99692314211129,15.736251232585737,
3,4633.2,30.8095,-94.8958,199.7,0.038299999999999994,1.98,270.53332019900273,103.60495383986618,137.72931001505222,15.187441700752878,
4,4878.0,30.6731,-94.5637,199.1,0.0363,1.97,272.4950582990008,106.2236224734819,143.09102808295918,14.970662871028281,
5,4725.6,30.3487,-95.0158,198.5,0.0371,1.96,316.141703999,114.91835607840724,152.06652050997045,14.290123708242305,
6,4782.6,30.2563,-95.1022,198.0,0.0365,1.96,270.8838101990091,106.92455352968788,143.78323187432807,14.615004733879905,
7,5176.5,30.2185,-95.0753,197.4,0.033600000000000005,1.96,307.371263999,117.53978387383486,159.7404043270405,14.083655616152466,
8,4579.3,30.3465,-94.9752,196.9,0.038,1.96,309.76854209899994,113.89948434891075,150.12519741622802,14.10554244765937,
9,4574.4,30.1906,-95.3201,196.9,0.037899999999999996,1.96,270.1924082990087,106.42093239053548,141.80162716000603,14.423800300225368,
10,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,268.6493744990046,107.69225216832476,141.17794689942255,13.539682347485414,
11,4724.1,30.7657,-95.2341,193.5,0.0361,1.98,270.02542259900326,112.41013147977095,152.05724207362104,13.384237357626516,
12,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,266.7345944990045,105.23040888223774,134.53872810907416,13.38136080694387,
13,4695.7,30.6776,-95.4402,188.5,0.0352,1.98,272.0781725989993,119.56717187271786,162.87000001566005,12.16461280325562,
14,4422.3,30.8438,-94.3533,188.0,0.0375,1.97,271.24988639899937,118.09165492744366,158.71484209663353,12.063550763744356,
15,4302.1,30.9274,-93.7976,188.0,0.038700000000000005,1.97,271.19617259899934,116.90735088994056,156.05322020481668,12.116716894511745,
16,5260.7,30.1856,-94.9525,186.9,0.031100000000000003,1.95,272.3754506989992,127.10329656983853,178.90948675413202,11.708470020561007,
17,4301.2,30.346,-95.1115,185.8,0.0378,1.96,270.1976582989993,120.14944297861786,161.08300382229487,11.584686518585446,
18,4610.7,30.8821,-93.896,184.7,0.0354,1.96,270.07078259899924,124.24766152826543,169.72949641828464,11.327983938415839,
19,3739.6,31.9197,-94.549,184.0,0.0437,2.02,268.6507163989992,116.67090527014054,151.87997516823535,11.470628368719112,
20,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,267.9124382989993,119.29318766582664,157.3676707804843,11.26918771311031,
21,4729.3,30.6814,-94.6912,183.0,0.034,1.97,269.04506069899924,128.05459976774992,176.69570449053654,10.924073263227193,
22,4693.0,30.6938,-94.6943,181.9,0.034,1.97,268.1560025989992,129.77543376277748,179.19579686969422,10.651349648643967,
23,4554.0,30.0975,-95.3607,181.9,0.0347,1.96,268.1171063989992,128.2636358121314,175.72488338123136,10.694698389647536,
24,4419.2,30.322,-95.2172,181.9,0.0359,1.97,267.97143829899943,126.93784646034692,172.6145226873207,10.719932649561235,
