well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
1,3929.3,32.6775,-94.9812,184.7,0.042,2.12,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
2,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
3,3595.1,32.6775,-94.9812,161.1,0.0394,2.12,77.2991063990001,171.2398595230802,282.5136031573943,3.2815251723493217,
4,3514.0,32.5311,-94.62969,158.0,0.039020000000000006,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
5,3274.7,32.7832,-93.4002,154.3,0.0412,2.1,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
6,3879.28,32.53559,-94.82366,151.29,0.03359,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
7,3755.25,32.58534,-94.69041,151.24,0.03472,2.37,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
8,3398.0,32.56314,-94.82131,151.0,0.038270000000000005,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
9,3380.95,32.51575,-94.83413,150.11,0.03818,2.35,66.45600259900009,216.16440466867323,372.40852074731373,2.186445338699618,
10,3696.3,32.6803,-94.9829,150.1,0.035,2.07,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
11,3498.06,32.55336,-94.56122,149.81,0.03688,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
12,3399.84,32.51843,-94.75825,149.05,0.03767,2.34,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
13,3300.0,32.55275,-94.72241,149.0,0.038810000000000004,2.35,64.88961259900009,219.79247661374396,379.1820584606088,2.088681197824601,
14,3657.6,32.6806,-94.9755,147.8,0.0347,2.07,67.75955449900009,232.28814430214024,408.1162657094529,2.1165609923928557,
15,3849.37,32.53102,-94.6297,147.4,0.032869999999999996,2.38,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
16,3740.2,32.6856,-94.6111,147.3,0.0342,2.11,69.1285087990001,230.28166667314713,404.61680624697715,2.188320922676879,
17,3319.0,32.55629,-94.82437,147.0,0.03797,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
18,3286.0,32.51989,-94.82124,147.0,0.038340000000000006,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
19,3292.0,32.54322,-94.82287,147.0,0.03828,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 1.500 MPa!
20,3286.0,32.5295,-94.82741,147.0,0.038340000000000006,2.36,63.48639259900002,229.4077692314207,398.86042810505677,1.9558205374897137,
